Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Timestamp,,,,,
2012-03-01,137.30999755859375,137.99000549316406,136.92999267578125,108.5103759765625,145023500
2012-03-02,137.63999938964844,137.82000732421875,137.0,108.179443359375,120638300
2012-03-05,137.10000610351562,137.1999969482422,136.27999877929688,107.7382583618164,140765000
2012-03-06,135.35000610351562,135.42999267578125,134.36000061035156,106.16255187988281,202129900
2012-03-07,135.05999755859375,135.91000366210938,134.92999267578125,106.9031753540039,143692200
2012-03-08,136.52000427246094,137.32000732421875,136.24000549316406,107.96675109863281,116968900
2012-03-09,137.3000030517578,137.92999267578125,137.1300048828125,108.38426208496094,122836800
2012-03-12,137.5500030517578,137.75999450683594,137.08999633789062,108.39218139648438,104003500
2012-03-13,138.32000732421875,140.1300048828125,138.08999633789062,110.34603881835938,184090500
2012-03-14,140.10000610351562,140.4499969482422,139.47999572753906,110.22789001464844,145163600
2012-03-15,140.1199951171875,140.77999877929688,139.75999450683594,110.86601257324219,165118500
2012-03-16,140.36000061035156,140.47999572753906,140.0,111.01957702636719,152893500
2012-03-19,140.2100067138672,141.27999877929688,140.11000061035156,111.45474243164062,125291100
2012-03-20,140.0500030517578,140.61000061035156,139.63999938964844,111.13034057617188,121729700
2012-03-21,140.52000427246094,140.64999389648438,139.9199981689453,110.94834899902344,122388400
2012-03-22,139.17999267578125,139.5500030517578,138.74000549316406,110.14909362792969,135216700
2012-03-23,139.32000732421875,139.80999755859375,138.5500030517578,110.50517272949219,120521000
2012-03-26,140.64999389648438,141.61000061035156,140.60000610351562,112.05616760253906,120164000
2012-03-27,141.74000549316406,141.8300018310547,141.0800018310547,111.70795440673828,119868500
2012-03-28,141.10000610351562,141.32000732421875,139.63999938964844,111.15404510498047,148562100
2012-03-29,139.63999938964844,140.49000549316406,139.08999633789062,110.9641342163086,164963700
2012-03-30,140.9199981689453,141.0500030517578,140.0500030517578,111.42310333251953,135486800
2012-04-02,140.63999938964844,142.2100067138672,140.36000061035156,112.23816680908203,151741100
2012-04-03,141.63999938964844,141.8800048828125,140.42999267578125,111.77919006347656,155806700
2012-04-04,140.22000122070312,140.33999633789062,139.33999633789062,110.6713638305664,146896000
2012-04-05,139.3800048828125,140.1999969482422,139.25999450683594,110.6159896850586,137439400
2012-04-09,138.02999877929688,139.83999633789062,137.83999633789062,109.37360382080078,127555900
2012-04-10,137.9499969482422,138.33999633789062,135.75999450683594,107.53781127929688,235360300
2012-04-11,137.2899932861328,137.5399932861328,136.75,108.40823364257812,154133000
2012-04-12,137.1300048828125,138.89999389648438,137.02999877929688,109.82469177246094,154321500
2012-04-13,138.47000122070312,138.82000732421875,137.00999450683594,108.51903533935547,169246700
2012-04-16,137.83999633789062,138.0399932861328,136.5800018310547,108.44778442382812,147825300
2012-04-17,137.83999633789062,139.36000061035156,137.6999969482422,110.05414581298828,147877600
2012-04-18,138.4600067138672,139.0800018310547,138.3800048828125,109.6822509765625,123884200
2012-04-19,138.6300048828125,139.14999389648438,137.07000732421875,108.97798919677734,198666700
2012-04-20,138.3300018310547,138.8300018310547,137.8699951171875,109.15996551513672,143199600
2012-04-23,136.5399932861328,136.91000366210938,135.94000244140625,108.24205017089844,171844900
2012-04-24,136.91000366210938,137.66000366210938,136.8000030517578,108.65353393554688,137484200
2012-04-25,138.64999389648438,139.25,138.52999877929688,110.14118957519531,150252200
2012-04-26,138.88999938964844,140.32000732421875,138.80999755859375,110.90877532958984,136291600
2012-04-27,140.5800018310547,140.7899932861328,139.8000030517578,111.09076690673828,130725000
2012-04-30,140.11000061035156,140.2100067138672,139.49000549316406,110.67928314208984,115092200
2012-05-01,139.7899932861328,141.66000366210938,139.6300048828125,111.36772155761719,138832200
2012-05-02,139.9199981689453,140.4600067138672,139.4600067138672,111.035400390625,121081000
2012-05-03,140.33999633789062,140.4499969482422,138.99000549316406,110.18867492675781,143759700
2012-05-04,138.52000427246094,139.3000030517578,136.9199981689453,108.40823364257812,193927300
2012-05-07,136.50999450683594,137.55999755859375,136.4600067138672,108.48736572265625,127765900
2012-05-08,136.27999877929688,136.77000427246094,134.9199981689453,108.05216217041016,213377700
2012-05-09,135.10000610351562,136.61000061035156,134.49000549316406,107.41124725341797,220752500
2012-05-10,136.67999267578125,136.85000610351562,135.7100067138672,107.63274383544922,150600000
2012-05-11,135.1699981689453,136.8699951171875,135.11000061035156,107.30831909179688,153032400
2012-05-14,134.30999755859375,135.61000061035156,133.91000366210938,106.12137603759766,163910000
2012-05-15,134.02000427246094,134.80999755859375,133.1300048828125,105.5120849609375,207629300
2012-05-16,133.94000244140625,134.5500030517578,132.8000030517578,105.1084976196289,207265500
2012-05-17,132.86000061035156,133.02000427246094,130.7899932861328,103.54965209960938,247992900
2012-05-18,131.3699951171875,131.60000610351562,129.5500030517578,102.66342163085938,319615900
2012-05-21,130.16000366210938,132.02000427246094,129.9499969482422,104.42799377441406,177861100
2012-05-22,132.30999755859375,133.22999572753906,131.33999633789062,104.61001586914062,197531200
2012-05-23,131.25,132.4600067138672,129.99000549316406,104.66542053222656,204958400
2012-05-24,132.6300048828125,132.83999633789062,131.4199981689453,104.87114715576172,167357600
2012-05-25,132.47999572753906,132.85000610351562,131.77999877929688,104.53089904785156,135465600
2012-05-29,133.16000366210938,133.92999267578125,131.1699981689453,105.79696655273438,152883500
2012-05-30,132.55999755859375,133.69000244140625,131.49000549316406,104.26182556152344,162370400
2012-05-31,131.7100067138672,132.4499969482422,130.33999633789062,104.03234100341797,196186000
